,,,lambda,ecs,tcr,alpha,beta,a0,a1,a2,tau0,tau1,tau2
BCC-CSM2-MR,tas,conventional,1.0054750117256706,3.0418388003141343,1.7294970882051843,,,,,,,,
BCC-CSM2-MR,tas,irm-2,0.9791571805614546,2.937888150555987,1.7748052280208821,4.150134861660201,1.041951590763398,0.5504778663232596,0.4495221336767405,,3.8316301406160793,162.5682472630847,
BCC-CSM2-MR,tas,irm-3,1.0117603230343313,2.895888616539134,1.7756122903998575,4.227017413205344,1.0483936919157033,0.23185436977166687,0.3479458899419006,0.42019974028643264,0.769433397310586,7.510382991912761,175.3746769955363
BCC-CSM2-MR,ts,conventional,0.9988261453577562,3.07024659906807,1.7485868806048017,,,,,,,,
BCC-CSM2-MR,ts,irm-2,0.9724000356527156,2.9646757144285556,1.7937482762645973,4.15907451009209,1.0422273157589248,0.551267837797824,0.44873216220217615,,3.8006996345062367,162.3730912367226,
BCC-CSM2-MR,ts,irm-3,1.005211318561925,2.921874546381758,1.7945716944285688,4.237341574509838,1.0487316288395088,0.23289516488387463,0.34789446092311394,0.4192103741930114,0.7509152188352592,7.487254713877858,175.24404087573149
BCC-ESM1,tas,conventional,0.9236326614733787,3.2591707783248394,1.776629338922956,,,,,,,,
BCC-ESM1,tas,irm-2,0.9232209872062095,2.9773883066894316,1.748925968109596,3.965661909751242,1.0954661959991496,0.5455360074703965,0.4544639925296035,,4.202746802184364,187.75683817793424,
BCC-ESM1,tas,irm-3,0.9293232656930165,2.9600925014895108,1.7488988730424355,3.968685017250443,1.1016180641136606,0.3654645332017231,0.24048307884213035,0.3940523879561465,2.0262632814030597,15.88571324187722,252.60202474323924
BCC-ESM1,ts,conventional,0.9194454827091539,3.2846281648851274,1.797898862636029,,,,,,,,
BCC-ESM1,ts,irm-2,0.9187872511842783,3.0057200158273982,1.7694910581130363,3.984171484244808,1.0936146065411363,0.546705798731123,0.4532942012688769,,4.15946549112989,187.58960856953934,
BCC-ESM1,ts,irm-3,0.9251471368681219,2.987865409073269,1.7695207975264176,3.9879194579114032,1.0998126672490383,0.36476604830348625,0.24150968954968233,0.39372426214683137,1.9828646509433692,15.61400230143407,251.34563190293852
CAMS-CSM1-0,tas,conventional,1.8344521167196535,2.287700198570995,1.7380425083868858,,,,,,,,
CAMS-CSM1-0,tas,irm-2,1.732842339385412,2.32027759719741,1.7465165086408418,5.80060825797935,0.9915529862318183,0.7001954564509654,0.2998045435490347,,2.6529410818760013,107.44683368880655,
CAMS-CSM1-0,tas,irm-3,1.787778484876257,2.3002533944049164,1.7480569362504246,5.932857614682372,0.9984080072751672,0.3539327254830066,0.38771276240563496,0.2583545121113585,0.588450418468339,6.706407926983652,129.30876428264682
CAMS-CSM1-0,ts,conventional,1.8544642149642223,2.222403896275355,1.675969683293269,,,,,,,,
CAMS-CSM1-0,ts,irm-2,1.7553058358955527,2.2510611988014846,1.6856048356721698,5.700522154648748,0.9928621825035964,0.6973992329717879,0.3026007670282122,,2.7759863621766563,108.677272623815,
CAMS-CSM1-0,ts,irm-3,1.8100622013684542,2.231683426469865,1.6870152832245888,5.827746154013523,0.9995553946354304,0.34607228441507715,0.3916330110733046,0.2622947045116183,0.6322795999553927,6.756957445616281,129.68254859324063
CESM2,tas,conventional,0.619858741705858,5.191337606298568,2.061332681176097,,,,,,,,
CESM2,tas,irm-2,0.6281151098344899,4.13328070331275,1.9752383951394628,3.7454903312753807,1.2493937409625444,0.41164022939240097,0.588359770607599,,4.125656702778923,202.2549852051175,
CESM2,tas,irm-3,0.6057373933537124,4.19722500216602,1.9757363066548883,3.6679311457016013,1.252344061700741,0.12655274458958338,0.2875265892024067,0.5859206662080099,1.0573328224294003,6.255234565257511,218.01907599399786
CESM2,ts,conventional,0.6219735825081131,5.140003482876912,2.0163691892392763,,,,,,,,
CESM2,ts,irm-2,0.6289148380988291,4.076766682706814,1.932274106954705,3.698982164437325,1.2557210957662697,0.407727011634173,0.5922729883658271,,4.2022063444482685,203.22230467149151,
CESM2,ts,irm-3,0.6082048704907304,4.135264796918585,1.93273327884565,3.6285052594789176,1.258496450425601,0.12628016462725203,0.2840154527705254,0.5897043826022227,1.1762138860347044,6.30994707739631,217.98526631637006
CESM2-WACCM,tas,conventional,0.7007994764329357,4.695278077018199,1.9835275334679863,,,,,,,,
CESM2-WACCM,tas,irm-2,0.7139016255571122,3.842276078233099,1.910676936758087,3.9573227952452052,1.2160263603733796,0.44098771422253696,0.559012285777463,,3.8271746410609344,217.9927906360942,
CESM2-WACCM,tas,irm-3,0.7094753432502987,3.8477449268371866,1.9106913543332844,3.9383845585321846,1.218663397914651,0.07375645390168645,0.3706235518927215,0.5556199942055922,0.26876102790503364,4.793984863013499,224.348159478929
CESM2-WACCM,ts,conventional,0.7040570180693414,4.640017749539096,1.9424806641978278,,,,,,,,
CESM2-WACCM,ts,irm-2,0.7171611923843031,3.7863140086903004,1.8693729402196944,3.917490462877084,1.2197811880370906,0.43742672247891246,0.5625732775210877,,3.898408832945293,218.77092605506652,
