,r0,rC,rT,r0_err,rC_err,rT_err
ACCESS-ESM1-5,34.855182048336765,0.03634446741575146,3.0473908721605767,0.018655300118627646,0.02798872365947787,0.050678079629780215
BCC-CSM2-MR,26.266488992477562,0.008819821673942697,5.724354517872143,0.019298629315932066,0.04014604989381828,0.02683618017004523
CESM2,40.679506446441096,0.015966107986576092,1.4331508494840506,0.004076116014108454,0.012466059152017919,0.02746620034694797
CNRM-ESM2-1,38.39333663996037,0.010095151449916077,3.191254265691768,0.006374323149194945,0.02635392442472823,0.01961853089014377
CanESM5,35.01033905420175,0.012249889523434962,0.02067495361884042,0.01360297436243024,0.036513485628734764,4.650046966959844
GFDL-ESM4,36.00002948357301,0.015749232526718383,4.326931655791263,0.014802837029662275,0.03670237326011522,0.03795323264152792
IPSL-CM6A-LR,30.467024022055675,0.03523870263523118,1.517995139888452,0.026026631678826694,0.029422309994935697,0.09827040607781826
MIROC-ES2L,33.34203503188782,0.017371211069697353,3.8709975669119885,0.010530988639208193,0.020578242409723186,0.027258240128770084
MPI-ESM1-2-LR,35.144175352383435,0.02589671550313749,1.3678720188450981,0.008459719061169785,0.015759894835079166,0.06493545694877677
NorESM2-LM,41.022115295863046,0.015071993586921704,1.790404368659452,0.0037582487886463453,0.013371286269648893,0.0350573638354564
UKESM1-0-LL,37.91039270004428,0.0225407579110714,2.7841416110320942,0.008414332859230827,0.017808322139134025,0.019095394997387674
