,beta,s,alpha,log_beta,log_s,beta_s,log_beta_s
CanESM5,-0.4471164732144323,34.216739706370554,-0.01765161006533037,-0.8049361518348762,3.532714989418146,-0.013067185157070565,-4.337651141253022
E3SM,-1.5224915445431026,100.68595769776128,-0.0157827153765357,0.42034816692022253,4.612006343106766,-0.015121190475372066,-4.191658176186544
GFDL-CM4,-5.31398436827606,1114.281528394025,-0.008806747374516422,1.6703419057217144,7.015965107045849,-0.0047689782455022115,-5.345623201324135
GFDL-ESM4,-9.496181383799126,2498.403963532794,-0.011936134683450318,2.250889758198988,7.823407392396042,-0.003800899102950242,-5.572517634197054
GISS-E2-1-G,-0.16427545829415832,20.36542897226634,-0.018841106196313212,-1.8062106364035377,3.0138388050703453,-0.008066388315113263,-4.820049441473883
HadGEM3-GC31-LL,-0.8622204897499766,76.42145786796634,-0.0067074011313805,-0.14824425245370487,4.336263518884242,-0.01128243969435441,-4.484507771337947
IPSL-CM6A-LR,-2.820909222457516,1013.0320062503029,-0.00191422284186425,1.0370592522952615,6.920703099258246,-0.0027846200367340787,-5.883643846962984
MIROC6,-0.3648130884964636,41.38062762443776,-0.013043703984735892,-1.0083701428716783,3.7228128395401643,-0.008816035653384326,-4.731182982411842
NorESM2-LM,-7.983014485537346,1221.896489429687,-0.013924589824053167,2.0773160952100986,7.1081594302761095,-0.006533298486898322,-5.030843335066011
UKESM1-0-LL,-0.7771059029945988,39.72781008075706,0.0033536783012567367,-0.2521786406117754,3.6820514482659896,-0.019560753573250825,-3.934230088877765
