,,,lambda,ecs,tcr,alpha,beta,a0,a1,a2,tau0,tau1,tau2
BCC-CSM2-MR,tas,conventional,1.057727841651425,2.9986329177863307,1.7760737553013974,,,,,,,,
BCC-CSM2-MR,tas,irm-2,1.024142801176569,2.8928560720923486,1.7898373857869057,4.27426930984549,1.0429708655545098,0.5650693279788587,0.4349306720211412,,3.668010817846981,157.60364750066358,
BCC-CSM2-MR,tas,irm-3,1.0639346380945547,2.847398257119765,1.7907446897500026,4.370566193102747,1.0498504512622038,0.24480874327482277,0.3519116569383782,0.403279599786799,0.70691098282105,7.421152251326496,170.67756717165432
BCC-CSM2-MR,ts,conventional,1.0509674546669372,3.026453985044068,1.7953713716331365,,,,,,,,
BCC-CSM2-MR,ts,irm-2,1.017285486202209,2.9188573153228865,1.808705494181242,4.283810518819997,1.043316786728043,0.5659020488417141,0.43409795115828587,,3.6381151554522955,157.42687411852845,
BCC-CSM2-MR,ts,irm-3,1.057319266356714,2.872567310775772,1.8096300035753237,4.381783330830486,1.050258651208312,0.24604263662972564,0.3517333865786089,0.40222397679166527,0.6910726983704385,7.401606605631489,170.57921909883444
BCC-ESM1,tas,conventional,0.935476381410177,3.2418223177051932,1.7809615861251695,,,,,,,,
BCC-ESM1,tas,irm-2,0.9338942868391327,2.9417392885654805,1.7364671527712798,3.9634778760005718,1.1036583101508695,0.5514954005183579,0.4485045994816422,,4.187867007089428,193.2306766403908,
BCC-ESM1,tas,irm-3,0.9434969563711224,2.9204224499797924,1.7363286804113882,3.9752158995264573,1.110087053278465,0.3689050024011194,0.24412490459239358,0.386970093006487,1.988147752499113,15.856917902609833,263.4823241609894
BCC-ESM1,ts,conventional,0.9310293845028725,3.267411637001663,1.8023630336039564,,,,,,,,
BCC-ESM1,ts,irm-2,0.9291837957873067,2.9702916495880443,1.7569780558372439,3.9817616618305958,1.1016818756485451,0.5525610324479793,0.4474389675520207,,4.1456581986568395,193.0314040076748,
BCC-ESM1,ts,irm-3,0.939036856541846,2.948387133507247,1.7568954934240413,3.9943092367200776,1.1081540980090139,0.3681395100938798,0.24511724547530087,0.3867432444308194,1.945964820327029,15.589946749939106,262.0366231433471
CESM2,tas,conventional,0.6364615692261242,5.164379818083461,2.119313580539199,,,,,,,,
CESM2,tas,irm-2,0.6408355379481968,4.167734105245441,2.015251748000473,3.8531962651892053,1.2345567122804493,0.41553575550861477,0.5844642444913851,,4.033456928501472,197.23928618660597,
CESM2,tas,irm-3,0.6185541932810612,4.2295095313537,2.0157731243852695,3.7743511472233315,1.2375429847935437,0.12405872714342776,0.2940551475737032,0.581886125282869,0.9419271511275455,6.078911308161507,212.3161540770774
CESM2,ts,conventional,0.6390772898398409,5.110209092862559,2.072223334493799,,,,,,,,
CESM2,ts,irm-2,0.6422218667603785,4.105621758754121,1.969623209167544,3.803982969373225,1.2415147903202481,0.4117765246823051,0.5882234753176948,,4.111304462349065,198.1742509969017,
CESM2,ts,irm-3,0.6215568549504075,4.162120387953667,1.9701037943291406,3.7322440757410265,1.244331624150957,0.12367990375441591,0.29080131121800407,0.5855187850275801,1.0566598829844307,6.137048017308399,212.32111546174738
CESM2-WACCM,tas,conventional,0.6971377164345132,4.7142968175280275,1.9888850280371457,,,,,,,,
CESM2-WACCM,tas,irm-2,0.7082151757342119,3.8799594585100907,1.9066936414720386,3.9643040422245504,1.2102673029196898,0.4325266725079527,0.5674733274920472,,3.887067874336105,214.21649560771723,
CESM2-WACCM,tas,irm-3,0.7043016879650752,3.884786365533688,1.9067105680873868,3.9473024941381314,1.2126808923485697,0.06690720210209995,0.36873526386051725,0.5643575340373826,0.27897230515341565,4.774808724327341,219.71338991531272
CESM2-WACCM,ts,conventional,0.6999992178779011,4.659900965463916,1.9469986591660997,,,,,,,,
