,ssp119,ssp119,ssp245,ssp245,ssp585,ssp585,ssp370,ssp370
,C,T,C,T,C,T,C,T
1755,275.76132771950273,0.018037502825357852,275.76132771950273,0.018037502825357852,275.76132771950273,0.018037502825357852,275.76132771950273,0.018037502825357852
1760,275.8907298172236,0.025506598853590343,275.8907298172236,0.025506598853590343,275.8907298172236,0.025506598853590343,275.8907298172236,0.025506598853590343
1765,276.08654124463993,0.0055925224898357995,276.08654124463993,0.0055925224898357995,276.08654124463993,0.0055925224898357995,276.08654124463993,0.0055925224898357995
1770,276.34357479642546,0.0024159578644478465,276.34357479642546,0.0024159578644478465,276.34357479642546,0.0024159578644478465,276.34357479642546,0.0024159578644478465
1775,276.6606074018856,0.023054067191522584,276.6606074018856,0.023054067191522584,276.6606074018856,0.023054067191522584,276.6606074018856,0.023054067191522584
1780,277.03254670223265,0.04147881187877493,277.03254670223265,0.04147881187877493,277.03254670223265,0.04147881187877493,277.03254670223265,0.04147881187877493
1785,277.46010780677494,-0.07846104431844886,277.46010780677494,-0.07846104431844886,277.46010780677494,-0.07846104431844886,277.46010780677494,-0.07846104431844886
1790,277.9395158937789,-0.06513507633602503,277.9395158937789,-0.06513507633602503,277.9395158937789,-0.06513507633602503,277.9395158937789,-0.06513507633602503
1795,278.4723818182404,-0.026809888686135222,278.4723818182404,-0.026809888686135222,278.4723818182404,-0.026809888686135222,278.4723818182404,-0.026809888686135222
1800,279.0578842905799,-0.016291405414227682,279.0578842905799,-0.016291405414227682,279.0578842905799,-0.016291405414227682,279.0578842905799,-0.016291405414227682
1805,279.6977671171958,0.01211962153156241,279.6977671171958,0.01211962153156241,279.6977671171958,0.01211962153156241,279.6977671171958,0.01211962153156241
1810,280.38895402828996,-0.08875229356085548,280.38895402828996,-0.08875229356085548,280.38895402828996,-0.08875229356085548,280.38895402828996,-0.08875229356085548
1815,281.1316545154817,-0.1522878163131207,281.1316545154817,-0.1522878163131207,281.1316545154817,-0.1522878163131207,281.1316545154817,-0.1522878163131207
1820,281.9288762788531,-0.24765096450337282,281.9288762788531,-0.24765096450337282,281.9288762788531,-0.24765096450337282,281.9288762788531,-0.24765096450337282
1825,282.77812130543697,-0.21115008241591027,282.77812130543697,-0.21115008241591027,282.77812130543697,-0.21115008241591027,282.77812130543697,-0.21115008241591027
1830,283.68289913654206,-0.15164362339695198,283.68289913654206,-0.15164362339695198,283.68289913654206,-0.15164362339695198,283.68289913654206,-0.15164362339695198
1835,284.64583525737265,-0.23951786990779603,284.64583525737265,-0.23951786990779603,284.64583525737265,-0.23951786990779603,284.64583525737265,-0.23951786990779603
1840,285.67026523834113,-0.20742495025134855,285.67026523834113,-0.20742495025134855,285.67026523834113,-0.20742495025134855,285.67026523834113,-0.20742495025134855
1845,286.75691138792274,-0.14918645814813042,286.75691138792274,-0.14918645814813042,286.75691138792274,-0.14918645814813042,286.75691138792274,-0.14918645814813042
1850,287.91128148876857,-0.1043516158469443,287.91128148876857,-0.1043516158469443,287.91128148876857,-0.1043516158469443,287.91128148876857,-0.1043516158469443
1855,289.12188066802236,-0.06411055755114312,289.12188066802236,-0.06411055755114312,289.12188066802236,-0.06411055755114312,289.12188066802236,-0.06411055755114312
1860,290.37153840659334,-0.027727721023092136,290.37153840659334,-0.027727721023092136,290.37153840659334,-0.027727721023092136,290.37153840659334,-0.027727721023092136
1865,291.56527659934545,-0.014901879792809327,291.56527659934545,-0.014901879792809327,291.56527659934545,-0.014901879792809327,291.56527659934545,-0.014901879792809327
1870,292.8188063329753,0.02713965515932195,292.8188063329753,0.02713965515932195,292.8188063329753,0.02713965515932195,292.8188063329753,0.02713965515932195
1875,294.4231324987326,0.06054588465843632,294.4231324987326,0.06054588465843632,294.4231324987326,0.06054588465843632,294.4231324987326,0.06054588465843632
1880,296.1764199968381,0.092626217368765,296.1764199968381,0.092626217368765,296.1764199968381,0.092626217368765,296.1764199968381,0.092626217368765
1885,298.09316029508057,0.060175854664227674,298.09316029508057,0.060175854664227674,298.09316029508057,0.060175854664227674,298.09316029508057,0.060175854664227674
1890,300.1422151784985,0.08611776866744615,300.1422151784985,0.08611776866744615,300.1422151784985,0.08611776866744615,300.1422151784985,0.08611776866744615
1895,302.46012260519296,0.1233387928172659,302.46012260519296,0.1233387928172659,302.46012260519296,0.1233387928172659,302.46012260519296,0.1233387928172659
1900,305.0177133617935,0.16197293429190396,305.0177133617935,0.16197293429190396,305.0177133617935,0.16197293429190396,305.0177133617935,0.16197293429190396
1905,308.0051373987955,0.1659070491053332,308.0051373987955,0.1659070491053332,308.0051373987955,0.1659070491053332,308.0051373987955,0.1659070491053332
1910,311.34090587891114,0.20064120334012253,311.34090587891114,0.20064120334012253,311.34090587891114,0.20064120334012253,311.34090587891114,0.20064120334012253
1915,314.6635342128581,0.21493885585591127,314.6635342128581,0.21493885585591127,314.6635342128581,0.21493885585591127,314.6635342128581,0.21493885585591127
1920,317.88104668578404,0.26311283806084296,317.88104668578404,0.26311283806084296,317.88104668578404,0.26311283806084296,317.88104668578404,0.26311283806084296
1925,321.25660520848123,0.3045681790573122,321.25660520848123,0.3045681790573122,321.25660520848123,0.3045681790573122,321.25660520848123,0.3045681790573122
1930,324.9875254864513,0.34808334492656806,324.9875254864513,0.34808334492656806,324.9875254864513,0.34808334492656806,324.9875254864513,0.34808334492656806
1935,328.6276610278306,0.39497811564703367,328.6276610278306,0.39497811564703367,328.6276610278306,0.39497811564703367,328.6276610278306,0.39497811564703367
1940,332.9696755318402,0.44703718907339074,332.9696755318402,0.44703718907339074,332.9696755318402,0.44703718907339074,332.9696755318402,0.44703718907339074
1945,337.5399538490936,0.4920071660287834,337.5399538490936,0.4920071660287834,337.5399538490936,0.4920071660287834,337.5399538490936,0.4920071660287834
1950,342.10964988624625,0.5478808937538171,342.10964988624625,0.5478808937538171,342.10964988624625,0.5478808937538171,342.10964988624625,0.5478808937538171
1955,347.88320040883116,0.5940565498616502,347.88320040883116,0.5940565498616502,347.88320040883116,0.5940565498616502,347.88320040883116,0.5940565498616502
1960,354.78434267097236,0.6479719665807323,354.78434267097236,0.6479719665807323,354.78434267097236,0.6479719665807323,354.78434267097236,0.6479719665807323
1965,361.76212839915786,0.6383132014643472,361.76212839915786,0.6383132014643472,361.76212839915786,0.6383132014643472,361.76212839915786,0.6383132014643472
1970,369.8360281443047,0.6812374118204132,369.8360281443047,0.6812374118204132,369.8360281443047,0.6812374118204132,369.8360281443047,0.6812374118204132
1975,379.4893737959278,0.7275172241231007,379.4893737959278,0.7275172241231007,379.4893737959278,0.7275172241231007,379.4893737959278,0.7275172241231007
1980,389.8751215540819,0.8019679953882708,389.8751215540819,0.8019679953882708,389.8751215540819,0.8019679953882708,389.8751215540819,0.8019679953882708
1985,400.2253963914909,0.8601898820401124,400.2253963914909,0.8601898820401124,400.2253963914909,0.8601898820401124,400.2253963914909,0.8601898820401124
1990,412.0857828683668,0.963417271379049,412.0857828683668,0.963417271379049,412.0857828683668,0.963417271379049,412.0857828683668,0.963417271379049
1995,424.2635008907638,1.0088021269176888,424.2635008907638,1.0088021269176888,424.2635008907638,1.0088021269176888,424.2635008907638,1.0088021269176888
2000,437.0246919978968,1.1448172169108624,437.0246919978968,1.1448172169108624,437.0246919978968,1.1448172169108624,437.0246919978968,1.1448172169108624
2005,451.3576197533631,1.2863406544733957,451.3576197533631,1.2863406544733957,451.3576197533631,1.2863406544733957,451.3576197533631,1.2863406544733957
2010,467.8423585239172,1.4200284055455914,467.8423585239172,1.4200284055455914,467.8423585239172,1.4200284055455914,467.8423585239172,1.4200284055455914
2015,486.0872760766982,1.5731093551877802,486.0872760766982,1.5731091674205795,486.0872760766982,1.5731092489668852,486.0872760766982,1.5731090684431153
2020,503.85470818094626,1.7396817973234526,504.2365084888646,1.737265446494696,505.4633322307158,1.7434858366775121,505.90192851772906,1.732240225615554
2025,517.0542231697647,1.9199547410494961,521.8161598198344,1.9118985374499289,526.5764991458233,1.9346771461014982,526.9864655615997,1.9013182214702897
2030,524.6183900937305,2.091547658313674,539.4893301855832,2.0798338758962482,550.1441037110611,2.1316370623507153,549.4027461696176,2.0693591762907118
2035,528.3744946246375,2.2461697243175927,557.2886115311662,2.249393097588055,576.7919712617659,2.3395982595839557,573.0904778083523,2.2436649695964617
2040,529.1995477314721,2.379328930493458,574.999970747891,2.422841244228043,606.5732356147716,2.5606205211207906,597.743585957259,2.426266260039278
2045,527.9916100999982,2.485102671047082,592.3868634829996,2.5912738879178874,639.5283172605698,2.788432611056682,623.1585417753823,2.6086946287087702
2050,525.2624808247755,2.5780865836788065,609.3284213479556,2.7657703070849107,675.6558897536796,3.0355399015173963,649.2278717910863,2.80250640186876
2055,521.8879335106974,2.6456143103923417,625.4281944977007,2.929211736042852,715.3289538826292,3.2848533090200904,675.8627558347653,2.993484096134103
2060,518.3409715801007,2.7013469023889902,640.4800409148867,3.0909562119372813,758.7344584914223,3.5445359761901782,703.021076591574,3.1926054059906703
2065,514.5682627065679,2.739139055731804,654.2721974499391,3.2409098759791592,805.6294283188296,3.8048198141711125,730.7128834746019,3.3901739521408416
2070,510.5182208541387,2.771507835872729,666.7045744611977,3.3890900002740736,855.8606050962338,4.075357409141074,758.9493323415285,3.595943651365382
2075,506.11525040595626,2.7898845187863786,677.2243000144691,3.524568330867411,908.6846442458012,4.345128062795197,787.7358208265059,3.7987487357761087
2080,501.30542904039083,2.8014256772450055,685.544122341834,3.652546202386824,963.6861381562949,4.6183951196143775,817.078331863271,4.003972778309533
2085,495.9590100910189,2.807384430552683,691.4153415829181,3.7732962849244664,1018.6665528381805,4.8929991483032165,847.1893658956056,4.212136900481229
