source,ACCESS-CM2,ACCESS-CM2,ACCESS-ESM1-5,ACCESS-ESM1-5,AWI-CM-1-1-MR,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-CSM2-MR,BCC-ESM1,BCC-ESM1,CAMS-CSM1-0,CAMS-CSM1-0,CESM2,CESM2,CESM2-FV2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM,CESM2-WACCM-FV2,CESM2-WACCM-FV2,CIESM,CIESM,CNRM-CM6-1,CNRM-CM6-1,CNRM-CM6-1-HR,CNRM-CM6-1-HR,CNRM-ESM2-1,CNRM-ESM2-1,CanESM5,CanESM5,E3SM-1-0,E3SM-1-0,EC-Earth3-Veg,EC-Earth3-Veg,GFDL-CM4,GFDL-CM4,GFDL-ESM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-1-H,GISS-E2-2-G,GISS-E2-2-G,HadGEM3-GC31-LL,HadGEM3-GC31-LL,HadGEM3-GC31-MM,HadGEM3-GC31-MM,INM-CM4-8,INM-CM4-8,INM-CM5-0,INM-CM5-0,IPSL-CM6A-LR,IPSL-CM6A-LR,KACE-1-0-G,KACE-1-0-G,MIROC-ES2L,MIROC-ES2L,MIROC6,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MPI-ESM1-2-LR,MRI-ESM2-0,MRI-ESM2-0,NESM3,NESM3,NorCPM1,NorCPM1,NorESM2-LM,NorESM2-LM,NorESM2-MM,NorESM2-MM,SAM0-UNICON,SAM0-UNICON,TaiESM1,TaiESM1,UKESM1-0-LL,UKESM1-0-LL
,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N,tas,N
0,1.0775385193805391,-7.386655070073459,0.7641635010277241,-6.432284671855427,1.1263809643324407,-6.718213664276902,0.7120920419656613,-5.965295811548685,0.8140063553458958,-5.992336866685207,1.020549918294563,-6.9887422587999595,0.911683963701023,-7.690613423074694,1.1824511420058457,-7.5798344286611155,1.0515635542450354,-7.797959716988942,1.190480677023686,-5.703254751780094,1.0157123119776656,-7.8391416559642835,1.5361750866733814,-6.573079738799038,1.2424036484640624,-6.798121419994061,0.8531380089083503,-5.1090700832216385,1.2466259653625116,-6.805392445926401,1.0809106629170628,-7.2837950812302665,1.2278817933870414,-6.955983126882927,1.1158791943627193,-7.344710382168614,1.130504481781884,-6.194631991812116,1.204883628446936,-6.2447366974864025,1.130979922807171,-6.448833639784823,1.2050301204210427,-5.646557395669561,1.1412414762255025,-7.068769978694377,1.3066832789755267,-7.2353006815147864,0.9092063033959334,-4.684641539168524,0.9494614672290709,-4.9456989974007115,1.3196831944629253,-7.497303813599046,0.3907916966966809,-6.838654275898023,0.8687438126517009,-6.790568167996241,0.9206814336568527,-6.100186838593686,1.1947712040580427,-6.692183045143963,1.2357549570699575,-7.657956535652374,1.0794247322989579,-6.613983274690966,2.202218245428355,-6.5563238173648415,0.9162478030015677,-6.299348121077401,1.156026334417561,-7.224441815966145,1.4120216117125324,-6.396929504463969,0.9491557048028199,-7.543265630987037,1.156381285302416,-7.727789661439601,1.6136118426267103,-6.61814944894337
1,2.0202341212261232,-6.018849037025153,1.5365222266160796,-5.361799482595925,1.99194203354296,-5.016203473290109,1.3034516356632326,-4.999874144490802,1.4693852806117917,-5.043779944598823,1.6544019878917415,-5.2342265340490854,1.767084655938333,-7.284236883510353,1.8277226757013059,-5.769535991062754,1.6883878430437955,-5.81669506879295,1.5525663657429003,-5.528459355860381,1.7549267691041968,-7.020583544402373,2.218170437211302,-6.044429561842628,1.9179555425356543,-6.018019797498455,1.5885144753185922,-4.986385163463662,2.01220327857243,-5.967767821481569,2.0314167470368494,-5.586765094298705,2.0632144844868283,-5.705758615953601,2.145773461865997,-5.750745537107381,1.842424369936528,-5.036750302371275,2.0213334788420334,-4.827107765281399,1.8367059923884876,-4.7813865661335395,1.7607601712903733,-4.586961015285828,1.9748119140536862,-6.349125360772522,2.221318187473708,-5.546585827570141,1.4251262871566397,-3.6908868877998033,1.4835124962128945,-3.913113756972659,2.1852230703081714,-5.18206232911569,0.9968095457241217,-6.335449714604714,1.6665216591788088,-5.928199778196867,1.5900448158557323,-5.319533793548337,1.801008161086907,-5.4252804079938555,1.9688509134512797,-6.110204528532951,1.7715075482586893,-5.1066276632965195,3.1246273011128824,-4.828330236917964,1.556582963768427,-5.827501588621392,1.8678464601969043,-5.312061966608504,1.852555695926933,-4.658881175269302,1.8985353200539978,-6.630303627891521,1.9252019135474325,-6.615728944273958,2.1411361518652883,-5.817469027252812
2,2.329260116113315,-5.273343778003615,1.984397424938424,-4.445106119476574,2.2901057118467167,-4.912267948890227,1.739767200149223,-3.9756469471252522,1.8689139798125383,-4.398511921464231,1.986206485844114,-4.577287509142593,2.3244077088311306,-5.5683056660034955,2.2387670002498434,-4.636281389153057,2.125278167068551,-5.743524637185851,2.005794098307424,-5.138643238699566,2.377356647169553,-6.539363449893419,2.8165057912542353,-5.349202068660064,2.4843263787322547,-5.396058657584208,2.0901356871212,-4.579449781618802,2.5436404244386805,-5.739425250078533,2.480718450344637,-5.199857137684162,2.505826657094148,-5.084138405405531,2.6902061720726578,-3.8730011911315,2.2872907283217874,-3.6526265613578075,2.2349249285604076,-4.598055745766504,1.9696362307661837,-4.941894491448306,1.9977519077766068,-4.304095504291251,2.4787234595034655,-5.220707779622451,2.4836365989329354,-5.620948793386105,1.705840159037044,-2.9376467760624454,1.7921771467987615,-3.4534240353586565,2.636412946153462,-4.901990844632328,1.469237203600704,-5.649568831388408,2.1166771372874607,-4.1094422929685335,2.0654332376339224,-4.464229934337523,2.2513821744047857,-4.965175802647655,2.4018800974259076,-5.113002760913881,2.031068726283736,-4.586953819058817,3.686130762014304,-4.184168946362377,1.908930274381546,-5.304167936473768,2.2308874655444475,-4.297278490032469,2.4457116763275804,-5.3685279101476375,2.3187117276200757,-5.107244633837069,2.52642080438882,-5.689710910870796,2.498703759798173,-6.057411950564215
3,2.751446519670121,-4.395669958138212,2.1362108099817867,-4.266928658072454,2.695915093118132,-4.65159932511733,1.8688286102861746,-3.6186973323565557,2.211768006187251,-4.056154301452135,2.3873454726857264,-3.6542080523186513,2.7205725377602885,-5.188243773515544,2.6517081933347155,-5.059577596363173,2.5969771277273748,-5.350215762388023,2.5796490671701093,-4.860058197018714,2.745234088025696,-5.845135916389218,3.2569602093897974,-4.8906189487499985,2.961690449966862,-5.06784726941979,2.504976338625566,-4.4731876166392,3.031990043650726,-5.544053253088425,2.8687013690967444,-4.298770086341184,2.9000943129869596,-4.692396085565059,2.79240020588677,-4.031472014840129,2.4431829929780506,-4.26967977560213,2.385070220664743,-4.538178707157133,2.3084740652715814,-4.569530050160937,2.3574471719690617,-3.8780613982192893,2.835862432023653,-5.316529067245948,2.8861923935273928,-5.145992877751552,1.862533015235174,-3.0341790933888495,1.8451167601763065,-3.010319222516501,3.050422821998717,-4.485439360148903,1.8757704823370112,-5.21733051300641,2.086619741547072,-4.5066186511288535,2.4537910641949834,-4.125683946231055,2.5605155968121514,-4.465013558798553,2.755349402293399,-4.588640278460247,2.277685164543424,-4.667985199895351,3.912588050746242,-4.153713499485207,2.188646583345693,-4.362251479358973,2.7824711851543733,-4.155894330037734,2.952646693256866,-3.000597890380964,2.808261816193204,-4.910601746802909,2.92471990087781,-4.723972864845905,3.02504492862143,-5.37570021615481
4,2.8186980103426382,-5.092978178359106,2.453385094159988,-4.187401684151263,3.10358508687161,-3.5580219512659315,2.079070277068963,-3.887408504774491,2.481142402416606,-3.8110259296776636,2.6249597404785296,-3.1863978642436166,2.9983084046511954,-4.687430536930519,2.939754010642601,-3.500679911537422,2.985749966638864,-4.183589677258327,2.7716334134381477,-3.8142394872455876,3.0132559188243504,-5.5533669296159,3.586433728470195,-4.532438557736358,3.208348797908583,-4.979341805938196,2.78942619473718,-4.243439944327844,3.350489547675499,-5.18527517601315,2.958637979487459,-4.291375187762495,3.117199966360859,-4.165799557437378,2.8709349198494922,-4.37114892413912,2.81388695576523,-3.4727655980242416,2.7416824429416042,-4.041634082846917,2.758714068515245,-3.425201854105317,2.617803663158334,-2.6542750746385977,3.182191749719995,-5.150954264990403,3.3181965709868346,-5.083637245049941,2.0216206292530337,-2.2051896685657546,2.1266941276359668,-2.776440324437925,3.2742026978440437,-4.172047875665594,2.138046044269924,-4.918519064271125,2.243603078894339,-4.619633662946901,2.790558517540938,-3.270346734259559,2.872573428648232,-4.097201849167855,2.891623206485758,-4.261243349620504,2.6012167835907634,-4.234089614229256,4.176950635203702,-3.7724686396870766,2.4298836975272295,-3.71769573398514,2.9379367985895453,-2.277885586617432,2.8562037239830516,-2.359871664905888,3.0475937325900992,-4.6154815551835755,3.1861092623545053,-4.781241465699017,3.5028650183168346,-4.871524085956024
5,3.1890378514532434,-4.625249941046483,2.7484520745818473,-4.1683810552443035,3.12488402466752,-3.0543613379897825,2.3099356911323325,-3.5816681249097733,2.6110136164388824,-3.6876018424089594,2.505834975141876,-3.82765433148937,3.3254150611953692,-4.760773842327273,3.073742574799434,-4.753787984485717,3.3083655632186977,-4.5256434976970175,2.6105853291947247,-4.785682230411699,3.4066150286613808,-5.608642372764803,3.793527779269653,-4.255451409818701,3.3736720779504754,-4.385984802565679,3.036644022333616,-4.264382011947028,3.6399059100115556,-5.001485330384252,3.2693827571553715,-4.62237938407893,3.4637938637704146,-4.0002145181253175,3.3480760759973127,-3.8130157741948265,2.8440723361783076,-3.2309644805760094,3.014838018001331,-3.560968928553953,2.9738662438870715,-3.417708746504329,2.595230616686715,-3.312876872382161,3.5871943852909305,-4.559209008690875,3.5642667220004123,-4.805864335026227,2.113618783396313,-1.9887442532595696,2.188110348408437,-2.5419498509547434,3.508592573689299,-4.231066391182173,2.403146409641166,-4.959662228671727,2.5821476890512938,-4.2414674680563165,2.745882733041078,-3.028969137630203,2.9078567116781673,-3.898199664387688,3.1534674058333674,-4.250296048866526,2.7388007889326653,-3.777444414219268,4.334355902440415,-3.7538728438055387,2.3972766613036978,-4.10519664235651,2.8568615843789202,-2.7096655117052064,2.9331836999484047,-2.6041294859402426,3.3017484527639462,-4.120470538876643,3.3593284473239238,-4.4270922996400754,3.650151901991394,-4.521994715662811
6,3.48284549903942,-4.4108407436243295,2.9654102859987788,-3.1311916094052696,3.2199869775600143,-3.967825777536345,2.4689488579958594,-3.629009737697334,2.8317561460528005,-3.2307086493575725,2.78939453849859,-3.409228985307521,3.5259590052125387,-4.305515238752304,3.330124349549072,-3.5703019281873543,3.5192546070917468,-4.283634630759205,3.1583656895147953,-4.789329277587479,3.7058793079729337,-5.329819963758055,3.818510810530018,-4.236794314805896,3.6065820472175765,-4.486659974321363,3.3051699032807806,-3.9458259813574856,3.7768023601930523,-4.589926709461458,3.4255342032514955,-4.686321537537747,3.7419000436655554,-3.6480586202757643,3.5118713241035495,-3.0816558229086786,2.8945749580715847,-3.347236698351598,3.008750514794029,-3.5147586498056924,3.0574775153494875,-3.471657280938277,2.732687718010549,-3.1568768233306383,3.7765243349415556,-4.5225859283191525,3.7224534830147276,-4.549668694886462,2.1255724093007053,-2.161734700161175,2.291201877025649,-2.4139535711636904,3.634392449534619,-3.904708906698802,2.7675497882350597,-4.617518232244794,2.968552662737672,-3.4306565832362,2.565603854170225,-3.603329152421121,3.0181790443632774,-3.858770683894605,3.2113563179462283,-4.041614691860331,2.8288297732832843,-3.9183964139195724,4.549213866347865,-3.757066848493764,2.5848017374434966,-4.293958755647902,3.118431778474293,-2.95742411079782,3.1576676563381607,-3.258226352649625,3.555530735826825,-4.315556209983296,3.489689852375689,-4.598923657804108,3.6443612551054017,-4.7855977268027035
7,3.65523471704879,-3.8536838111130005,2.9685212923863427,-3.9712120345308124,3.359447382610462,-3.6260674098305845,2.594979269993161,-3.2649026273907267,2.923225761736851,-3.6095273348640307,2.911389498191698,-3.10280246244919,3.8437783763678754,-3.9525760935198844,3.5024079616796526,-3.7258970559018465,3.677855566886696,-3.99490129093305,3.4892462191507105,-3.782641506231327,3.8296126508199326,-5.174168074552386,4.048601125718199,-4.141390089592205,3.7734056362123396,-4.541356624727465,3.532033181238648,-3.8074904740097004,3.967309496771358,-4.753945179480328,3.9149745634690163,-4.574080411579064,3.6675975600763273,-3.8853533714343533,3.504237172130127,-3.7111434790033067,2.984528711073397,-3.5790124635568694,3.0729241285903948,-3.695729140600557,3.024403195411137,-3.5171401704866496,2.889859222765393,-3.027685119049418,3.9367237152877665,-4.533924703195819,3.8129878182924033,-4.267015446813102,2.255418563991213,-2.1546975552159853,2.4544228106386523,-2.275063659203665,3.7150623253799098,-4.449523422215375,2.7436182927528887,-4.1390017099626375,2.9476704887540603,-2.700376918856234,2.6433076645061284,-3.918278309811316,3.168485027229558,-3.3360906107568726,3.4128889414963104,-3.5715990016729404,2.9453773356338835,-3.6307805366325754,4.446118033757327,-3.5707810090191288,2.8647088775007505,-4.04210855647797,3.2911329094363073,-2.180299847388138,3.209152454584576,-2.314269770602619,3.760680069008494,-3.879802432240747,3.59073596316164,-4.4015224604940695,3.8586906916623165,-4.752294518320337
8,3.6205417149911807,-4.0071656811634035,3.30760784943295,-3.3326883133611207,3.6479386865972128,-3.064290215195604,2.6702475007319,-3.1884759897966286,3.0715060989624825,-3.588734258718364,3.0319836374737275,-2.5276627701991283,3.84203905059024,-3.9790036544965766,3.790157474338085,-3.5277693792141434,3.82763338730618,-3.3218948261478864,3.6360350283533385,-4.2515388712793385,4.044071987177193,-4.964879949537495,4.220993776061755,-3.972658866179649,3.9403703138958948,-4.2964700562424225,3.640228686985912,-3.6288746575944746,4.23369217155017,-4.756769817062802,4.154023324725578,-4.03087723573537,3.928542536822992,-4.077871002125073,3.7927241911775473,-3.3837507073012874,3.147550988345962,-3.1966826004086837,3.283445267937896,-3.3233930893252035,3.039485867382038,-4.052108747699079,2.911731075190701,-2.626430114689399,4.232247854704079,-4.237839625316695,3.8855053110787723,-3.99089134770679,2.4258292322039905,-2.2019611592012684,2.4398654698442113,-2.1881681426227932,3.958242201225198,-3.216991937731982,2.9516195504583815,-4.531090357276472,2.660087771312278,-4.023762214520882,3.1107534981983798,-3.245570109762804,3.2448057856815518,-3.6641143034292067,3.411654157582256,-3.677361546099101,3.080870953081032,-3.7196265007797003,4.615730009914854,-3.7526879862012947,2.8279138895077236,-3.585202686988655,3.0108811117460985,-2.1264617511348587,3.157892170798635,-3.0960528653851744,3.9569245538610534,-3.9730470862822878,3.7221581674079385,-4.254949575227424,4.264499010552631,-3.9971813643817273
