year,AS-RCEC_TaiESM1_r1i1p1f1_co2mass_1pctCO2,AS-RCEC_TaiESM1_r1i1p1f1_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2_co2mass_1pctCO2,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2_co2mass_1pctCO2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r2i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r3i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r4i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r5i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r6i1p1f2_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r1i1p1f1_co2mass_1pctCO2,IPSL_IPSL-CM6A-LR_r10i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r11i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r12i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r1i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r2i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r3i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r4i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r5i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r6i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r7i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r8i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r9i1p1f1_co2mass_abrupt-4xCO2,MOHC_UKESM1-0-LL_r1i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r2i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r3i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r4i1p1f2_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1_co2mass_abrupt-4xCO2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1_co2mass_abrupt-4xCO2,NCAR_CESM2-FV2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM-FV2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM_r1i1p1f1_co2mass_abrupt-4xCO2,NCAR_CESM2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorCPM1_r1i1p1f1_co2mass_1pctCO2,NCC_NorCPM1_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorESM2-LM_r1i1p1f1_co2mass_1pctCO2,NCC_NorESM2-LM_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorESM2-MM_r1i1p1f1_co2mass_1pctCO2,NCC_NorESM2-MM_r1i1p1f1_co2mass_abrupt-4xCO2,NOAA-GFDL_GFDL-CM4_r1i1p1f1_co2mass_1pctCO2,NOAA-GFDL_GFDL-ESM4_r1i1p1f1_co2mass_1pctCO2,NOAA-GFDL_GFDL-ESM4_r1i1p1f1_co2mass_abrupt-4xCO2,SNU_SAM0-UNICON_r1i1p1f1_co2mass_1pctCO2,SNU_SAM0-UNICON_r1i1p1f1_co2mass_abrupt-4xCO2
1,1461410800000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226581800000000.0,2227107100000000.0,2227107100000000.0,8893339700000000.0,2226581800000000.0,8905333000000000.0,1461410800000000.0,5814487000000000.0,1455701200000000.0,5822155000000000.0,1455701200000000.0,5822155000000000.0,2225267300000000.0,2220594600000000.0,8629019300000000.0,,
2,1476024800000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2246512200000000.0,2247440800000000.0,2247441000000000.0,8893339700000000.0,2246512200000000.0,8905333000000000.0,1476024800000000.0,5814487000000000.0,1468731600000000.0,5822155000000000.0,1468731600000000.0,5822155000000000.0,2247616000000000.0,2229343600000000.0,8561428400000000.0,,
3,1490785200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268978300000000.0,2269873600000000.0,2269873600000000.0,8893339700000000.0,2268978300000000.0,8905333000000000.0,1490785200000000.0,5814487000000000.0,1483419300000000.0,5822155000000000.0,1483419300000000.0,5822155000000000.0,2270095800000000.0,2248334400000000.0,8632151400000000.0,,
4,1505693000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291667800000000.0,2292593400000000.0,2292593700000000.0,8893339700000000.0,2291667800000000.0,8905333000000000.0,1505693000000000.0,5814487000000000.0,1498253700000000.0,5822155000000000.0,1498253700000000.0,5822155000000000.0,2292732700000000.0,2267900300000000.0,8666713600000000.0,,
5,1520750100000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314583400000000.0,2315540600000000.0,2315540600000000.0,8893339700000000.0,2314583400000000.0,8905333000000000.0,1520750100000000.0,5814487000000000.0,1513235200000000.0,5822155000000000.0,1513235200000000.0,5822155000000000.0,2315695000000000.0,2289966800000000.0,8703637400000000.0,,
6,1535957500000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337729000000000.0,2338696000000000.0,2338696000000000.0,8893339700000000.0,2337729000000000.0,8905333000000000.0,1535957500000000.0,5814487000000000.0,1528367300000000.0,5822155000000000.0,1528367300000000.0,5822155000000000.0,2338868700000000.0,2310170600000000.0,8739048000000000.0,,
7,1551317000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361107800000000.0,2362039500000000.0,2362039500000000.0,8893339700000000.0,2361107800000000.0,8905333000000000.0,1551317000000000.0,5814487000000000.0,1543652000000000.0,5822155000000000.0,1543652000000000.0,5822155000000000.0,2362264800000000.0,2330885200000000.0,8745494500000000.0,,
8,1566830200000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384718000000000.0,2385681700000000.0,2385681700000000.0,8893339700000000.0,2384718000000000.0,8905333000000000.0,1566830200000000.0,5814487000000000.0,1559088000000000.0,5822155000000000.0,1559088000000000.0,5822155000000000.0,2385826000000000.0,2353319000000000.0,8746838000000000.0,,
9,1582498600000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408565000000000.0,2409561200000000.0,2409560700000000.0,8893339700000000.0,2408565000000000.0,8905333000000000.0,1582498600000000.0,5814487000000000.0,1574678900000000.0,5822155000000000.0,1574678900000000.0,5822155000000000.0,2409733800000000.0,2375416800000000.0,8758714000000000.0,,
10,1598323400000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432651000000000.0,2433656500000000.0,2433656500000000.0,8893339700000000.0,2432651000000000.0,8905333000000000.0,1598323400000000.0,5814487000000000.0,1590426000000000.0,5822155000000000.0,1590426000000000.0,5822155000000000.0,2433901000000000.0,2394915000000000.0,8780562400000000.0,,
