year,AS-RCEC_TaiESM1_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_UKESM1-0-LL_r2i1p1f2,MOHC_UKESM1-0-LL_r3i1p1f2,MOHC_UKESM1-0-LL_r4i1p1f2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NCAR_CESM2-FV2_r1i1p1f1,NCAR_CESM2-WACCM-FV2_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCAR_CESM2_r1i1p1f1,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NOAA-GFDL_GFDL-CM4_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,MRI_MRI-ESM2-0_r1i2p1f1
1,1461410800000000.0,,,,,,,,,,2226581800000000.0,2227107100000000.0,2227107100000000.0,2226581800000000.0,1461410800000000.0,1455701200000000.0,1455701200000000.0,2225267300000000.0,2220594600000000.0,,
2,1476024800000000.0,,,,,,,,,,2246512200000000.0,2247440800000000.0,2247441000000000.0,2246512200000000.0,1476024800000000.0,1468731600000000.0,1468731600000000.0,2247616000000000.0,2229343600000000.0,,
3,1490785200000000.0,,,,,,,,,,2268978300000000.0,2269873600000000.0,2269873600000000.0,2268978300000000.0,1490785200000000.0,1483419300000000.0,1483419300000000.0,2270095800000000.0,2248334400000000.0,,
4,1505693000000000.0,,,,,,,,,,2291667800000000.0,2292593400000000.0,2292593700000000.0,2291667800000000.0,1505693000000000.0,1498253700000000.0,1498253700000000.0,2292732700000000.0,2267900300000000.0,,
5,1520750100000000.0,,,,,,,,,,2314583400000000.0,2315540600000000.0,2315540600000000.0,2314583400000000.0,1520750100000000.0,1513235200000000.0,1513235200000000.0,2315695000000000.0,2289966800000000.0,,
6,1535957500000000.0,,,,,,,,,,2337729000000000.0,2338696000000000.0,2338696000000000.0,2337729000000000.0,1535957500000000.0,1528367300000000.0,1528367300000000.0,2338868700000000.0,2310170600000000.0,,
7,1551317000000000.0,,,,,,,,,,2361107800000000.0,2362039500000000.0,2362039500000000.0,2361107800000000.0,1551317000000000.0,1543652000000000.0,1543652000000000.0,2362264800000000.0,2330885200000000.0,,
8,1566830200000000.0,,,,,,,,,,2384718000000000.0,2385681700000000.0,2385681700000000.0,2384718000000000.0,1566830200000000.0,1559088000000000.0,1559088000000000.0,2385826000000000.0,2353319000000000.0,,
9,1582498600000000.0,,,,,,,,,,2408565000000000.0,2409561200000000.0,2409560700000000.0,2408565000000000.0,1582498600000000.0,1574678900000000.0,1574678900000000.0,2409733800000000.0,2375416800000000.0,,
10,1598323400000000.0,,,,,,,,,,2432651000000000.0,2433656500000000.0,2433656500000000.0,2432651000000000.0,1598323400000000.0,1590426000000000.0,1590426000000000.0,2433901000000000.0,2394915000000000.0,,
11,1614306800000000.0,,,,,,,,,,2456978200000000.0,2457948000000000.0,2457948300000000.0,2456978200000000.0,1614306800000000.0,1606330500000000.0,1606330500000000.0,2458268800000000.0,2422328000000000.0,,
12,1630449700000000.0,,,,,,,,,,2481547000000000.0,2482550000000000.0,2482550200000000.0,2481547000000000.0,1630449700000000.0,1622393300000000.0,1622393300000000.0,2482821300000000.0,2451469000000000.0,,
13,1646754200000000.0,,,,,,,,,,2506362000000000.0,2507399000000000.0,2507399000000000.0,2506362000000000.0,1646754200000000.0,1638617000000000.0,1638617000000000.0,2507670600000000.0,2470014500000000.0,,
14,1663221900000000.0,,,,,,,,,,2531426000000000.0,2532473000000000.0,2532473000000000.0,2531426000000000.0,1663221900000000.0,1655003500000000.0,1655003500000000.0,2532701700000000.0,2489480400000000.0,,
15,1679854000000000.0,,,,,,,,,,2556741100000000.0,2557750500000000.0,2557750500000000.0,2556741100000000.0,1679854000000000.0,1671554000000000.0,1671554000000000.0,2558035000000000.0,2514836500000000.0,,
16,1696652700000000.0,,,,,,,,,,2582309000000000.0,2583351700000000.0,2583351700000000.0,2582309000000000.0,1696652700000000.0,1688269600000000.0,1688269600000000.0,2583582300000000.0,2542906500000000.0,,
17,1713619100000000.0,,,,,,,,,,2608131500000000.0,2609209300000000.0,2609209300000000.0,2608131500000000.0,1713619100000000.0,1705152100000000.0,1705152100000000.0,2609527000000000.0,2575463700000000.0,,
18,1730755300000000.0,,,,,,,,,,2634212000000000.0,2635301500000000.0,2635301500000000.0,2634212000000000.0,1730755300000000.0,1722202800000000.0,1722202800000000.0,2635741700000000.0,2593597600000000.0,,
19,1748062800000000.0,,,,,,,,,,2660554000000000.0,2661605500000000.0,2661605200000000.0,2660554000000000.0,1748062800000000.0,1739425100000000.0,1739425100000000.0,2661878700000000.0,2615367500000000.0,,
20,1765543600000000.0,,,,,,,,,,2687160000000000.0,2688246000000000.0,2688245800000000.0,2687160000000000.0,1765543600000000.0,1756819500000000.0,1756819500000000.0,2688602300000000.0,2638722000000000.0,,
21,1783199000000000.0,,,,,,,,,,2714032500000000.0,2715153800000000.0,2715153500000000.0,2714032500000000.0,1783199000000000.0,1774388300000000.0,1774388300000000.0,2715533600000000.0,2662897400000000.0,,
22,1801031000000000.0,,,,,,,,,,2741170800000000.0,2742305200000000.0,2742305200000000.0,2741170800000000.0,1801031000000000.0,1792131000000000.0,1792131000000000.0,2742680000000000.0,2694433000000000.0,,
23,1819041200000000.0,,,,,,,,,,2768583000000000.0,2769677000000000.0,2769677000000000.0,2768583000000000.0,1819041200000000.0,1810052600000000.0,1810052600000000.0,2770105700000000.0,2721003800000000.0,,
24,1837231500000000.0,,,,,,,,,,2796269900000000.0,2797399700000000.0,2797399400000000.0,2796269900000000.0,1837231500000000.0,1828153900000000.0,1828153900000000.0,2797829700000000.0,2748195000000000.0,,
25,1855604100000000.0,,,,,,,,,,2824231700000000.0,2825399700000000.0,2825399700000000.0,2824231700000000.0,1855604100000000.0,1846434900000000.0,1846434900000000.0,2825751900000000.0,2774567400000000.0,,
26,1874160000000000.0,,,,,,,,,,2852474600000000.0,2853653800000000.0,2853653800000000.0,2852474600000000.0,1874160000000000.0,1864899500000000.0,1864899500000000.0,2854049500000000.0,2798124800000000.0,,
27,1892901600000000.0,,,,,,,,,,2880998600000000.0,2882137300000000.0,2882137000000000.0,2880998600000000.0,1892901600000000.0,1883547800000000.0,1883547800000000.0,2882568600000000.0,2824564000000000.0,,
28,1911830600000000.0,,,,,,,,,,2909809500000000.0,2910985500000000.0,2910985500000000.0,2909809500000000.0,1911830600000000.0,1902383800000000.0,1902383800000000.0,2911436200000000.0,2856283000000000.0,,
29,1930949000000000.0,,,,,,,,,,2938908400000000.0,2940122300000000.0,2940122300000000.0,2938908400000000.0,1930949000000000.0,1921408200000000.0,1921408200000000.0,2940609200000000.0,2885682800000000.0,,
30,1950258300000000.0,,,,,,,,,,2968295000000000.0,2969523500000000.0,2969523500000000.0,2968295000000000.0,1950258300000000.0,1940620800000000.0,1940620800000000.0,2969992200000000.0,2912981300000000.0,,
31,1969761000000000.0,,,,,,,,,,2997978400000000.0,2999163000000000.0,2999163000000000.0,2997978400000000.0,1969761000000000.0,1960027500000000.0,1960027500000000.0,2999802500000000.0,2938675000000000.0,,
32,1989458800000000.0,,,,,,,,,,3027960300000000.0,3029183300000000.0,3029182700000000.0,3027960300000000.0,1989458800000000.0,1979629000000000.0,1979629000000000.0,3029747200000000.0,2976204000000000.0,,
