year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
1,,,,,187.84277,,,96.63754,239.01227,,,,,,,,,,,,,,,,,,,239.51115,,,,241.04454,,,,,,,,,,,240.09505,
2,,,,,188.00542,,,96.60889,239.16753,,,,,,,,,,,,,,,,,,,239.3584,,,,241.14374,,,,,,,,,,,240.15825,
3,,,,,188.13402,,,96.49057,239.48022,,,,,,,,,,,,,,,,,,,239.91466,,,,241.42645,,,,,,,,,,,240.38664,
4,,,,,187.77126,,,96.687614,238.95793,,,,,,,,,,,,,,,,,,,239.38489,,,,241.1604,,,,,,,,,,,240.14174,
5,,,,,187.99513,,,96.63517,238.81895,,,,,,,,,,,,,,,,,,,239.32295,,,,241.3103,,,,,,,,,,,239.87791,
6,,,,,188.06395,,,96.59094,239.21611,,,,,,,,,,,,,,,,,,,239.57373,,,,241.3976,,,,,,,,,,,240.32214,
7,,,,,188.11517,,,96.604065,238.95363,,,,,,,,,,,,,,,,,,,239.36833,,,,241.38481,,,,,,,,,,,239.85191,
8,,,,,187.63524,,,96.614784,238.7913,,,,,,,,,,,,,,,,,,,239.6556,,,,241.13904,,,,,,,,,,,240.54565,
9,,,,,187.5363,,,96.737114,238.57904,,,,,,,,,,,,,,,,,,,239.78857,,,,241.48328,,,,,,,,,,,240.66321,
10,,,,,188.04558,,,96.667786,238.67317,,,,,,,,,,,,,,,,,,,239.84027,,,,240.91753,,,,,,,,,,,240.78961,
11,,,,,188.21083,,,96.64149,238.69789,,,,,,,,,,,,,,,,,,,239.43127,,,,241.18097,,,,,,,,,,,240.62231,
12,,,,,187.925,,,96.66776,238.85814,,,,,,,,,,,,,,,,,,,239.1059,,,,241.1389,,,,,,,,,,,240.2967,
13,,,,,188.19243,,,96.69214,238.86662,,,,,,,,,,,,,,,,,,,239.74095,,,,240.88622,,,,,,,,,,,240.11488,
14,,,,,187.73595,,,96.74009,238.76123,,,,,,,,,,,,,,,,,,,239.58556,,,,241.1775,,,,,,,,,,,240.2046,
15,,,,,187.92564,,,96.678795,239.05043,,,,,,,,,,,,,,,,,,,239.86725,,,,240.99677,,,,,,,,,,,240.51802,
16,,,,,187.5725,,,96.682,239.19812,,,,,,,,,,,,,,,,,,,239.69385,,,,241.59843,,,,,,,,,,,240.36333,
17,,,,,187.82906,,,96.65845,239.39429,,,,,,,,,,,,,,,,,,,239.55302,,,,241.37463,,,,,,,,,,,240.41313,
18,,,,,188.40503,,,96.867035,239.33736,,,,,,,,,,,,,,,,,,,239.78546,,,,241.56145,,,,,,,,,,,240.34337,
19,,,,,187.53503,,,96.69006,239.0614,,,,,,,,,,,,,,,,,,,239.66711,,,,241.24725,,,,,,,,,,,239.86922,
20,,,,,187.5996,,,96.69037,238.88947,,,,,,,,,,,,,,,,,,,239.76996,,,,241.17824,,,,,,,,,,,240.29718,
21,,,,,187.96397,,,96.6672,238.85841,,,,,,,,,,,,,,,,,,,240.09077,,,,241.44153,,,,,,,,,,,240.63269,
22,,,,,187.97803,,,96.764885,238.87666,,,,,,,,,,,,,,,,,,,240.08698,,,,241.39119,,,,,,,,,,,240.28088,
23,,,,,188.0522,,,96.75266,238.71007,,,,,,,,,,,,,,,,,,,240.23126,,,,241.44853,,,,,,,,,,,240.75208,
24,,,,,188.01402,,,96.82221,239.01543,,,,,,,,,,,,,,,,,,,239.72289,,,,241.53505,,,,,,,,,,,241.13324,
25,,,,,187.7889,,,96.531044,239.12677,,,,,,,,,,,,,,,,,,,239.92809,,,,241.6108,,,,,,,,,,,240.17253,
26,,,,,187.81934,,,96.62194,239.1037,,,,,,,,,,,,,,,,,,,240.07043,,,,241.47243,,,,,,,,,,,240.58868,
27,,,,,187.8986,,,96.69149,238.59502,,,,,,,,,,,,,,,,,,,240.29576,,,,241.51204,,,,,,,,,,,240.45259,
28,,,,,187.77629,,,96.690704,238.66872,,,,,,,,,,,,,,,,,,,240.25366,,,,241.63147,,,,,,,,,,,240.06664,
29,,,,,187.97534,,,96.657234,238.97443,,,,,,,,,,,,,,,,,,,239.88892,,,,241.99628,,,,,,,,,,,239.8055,
30,,,,,187.91588,,,96.67924,238.75423,,,,,,,,,,,,,,,,,,,240.12598,,,,241.54944,,,,,,,,,,,240.41557,
31,,,,,188.14403,,,96.54611,238.80653,,,,,,,,,,,,,,,,,,,240.17773,,,,241.15495,,,,,,,,,,,240.7591,
32,,,,,188.30669,,,96.65997,239.4214,,,,,,,,,,,,,,,,,,,240.01082,,,,241.39294,,,,,,,,,,,240.65529,
33,,,,,188.1515,,,96.45874,238.66762,,,,,,,,,,,,,,,,,,,240.203,,,,241.51335,,,,,,,,,,,240.64891,
34,,,,,187.79681,,,96.737526,238.82887,,,,,,,,,,,,,,,,,,,240.51927,,,,241.61241,,,,,,,,,,,241.00078,
35,,,,,187.86363,,,96.69846,239.04059,,,,,,,,,,,,,,,,,,,240.26575,,,,241.99605,,,,,,,,,,,241.15828,
