year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
1,,,,,79.883,,,45.254055,101.05646,,,,,,,,,,,,,,,,,,,100.4686,,,,99.037384,,,,,,,,,,,99.2583,
2,,,,,79.51188,,,45.229534,100.540794,,,,,,,,,,,,,,,,,,,99.97408,,,,98.54568,,,,,,,,,,,98.21497,
3,,,,,80.03394,,,45.108704,101.02252,,,,,,,,,,,,,,,,,,,100.54428,,,,98.653046,,,,,,,,,,,99.62988,
4,,,,,79.80866,,,45.06967,101.66571,,,,,,,,,,,,,,,,,,,100.9287,,,,98.81431,,,,,,,,,,,99.194145,
5,,,,,79.50338,,,45.235607,100.876915,,,,,,,,,,,,,,,,,,,101.00742,,,,98.77474,,,,,,,,,,,98.66624,
6,,,,,79.76013,,,45.206112,101.27691,,,,,,,,,,,,,,,,,,,100.6163,,,,98.89904,,,,,,,,,,,98.66152,
7,,,,,79.67774,,,44.941822,102.093285,,,,,,,,,,,,,,,,,,,99.93293,,,,99.21848,,,,,,,,,,,98.670746,
8,,,,,79.835594,,,45.019306,101.90981,,,,,,,,,,,,,,,,,,,100.16669,,,,98.70426,,,,,,,,,,,98.38705,
9,,,,,79.85576,,,44.90691,102.02795,,,,,,,,,,,,,,,,,,,100.41692,,,,98.59405,,,,,,,,,,,98.740425,
10,,,,,79.43963,,,44.97606,100.94763,,,,,,,,,,,,,,,,,,,100.54987,,,,99.10371,,,,,,,,,,,98.72117,
11,,,,,79.78305,,,44.816803,100.76412,,,,,,,,,,,,,,,,,,,100.78085,,,,98.78956,,,,,,,,,,,98.99036,
12,,,,,79.69427,,,44.91269,100.590096,,,,,,,,,,,,,,,,,,,100.03137,,,,98.94926,,,,,,,,,,,98.77511,
13,,,,,79.576546,,,44.932056,101.02819,,,,,,,,,,,,,,,,,,,100.35266,,,,98.93598,,,,,,,,,,,98.81794,
14,,,,,79.73159,,,45.040604,100.23663,,,,,,,,,,,,,,,,,,,99.924225,,,,99.11578,,,,,,,,,,,98.685326,
15,,,,,79.84847,,,45.08954,100.83245,,,,,,,,,,,,,,,,,,,99.90729,,,,98.24946,,,,,,,,,,,99.03153,
16,,,,,79.7643,,,45.09134,100.73713,,,,,,,,,,,,,,,,,,,100.06824,,,,98.03936,,,,,,,,,,,98.91745,
