year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
1,,,,,224.98744,,,120.61539,287.6458,,,,,,,,,,,,,,,,,,,286.77072,,,,286.83908,,,,,,,,,,,286.88934,
2,,,,,225.14545,,,120.572815,287.6956,,,,,,,,,,,,,,,,,,,286.97043,,,,286.9385,,,,,,,,,,,287.01233,
3,,,,,225.14594,,,120.52805,287.78568,,,,,,,,,,,,,,,,,,,287.05478,,,,287.0744,,,,,,,,,,,287.02054,
4,,,,,225.04689,,,120.58456,287.6027,,,,,,,,,,,,,,,,,,,286.86313,,,,286.95367,,,,,,,,,,,286.91687,
5,,,,,225.1134,,,120.593025,287.74335,,,,,,,,,,,,,,,,,,,286.90244,,,,287.01996,,,,,,,,,,,286.94043,
6,,,,,225.12817,,,120.639854,287.8392,,,,,,,,,,,,,,,,,,,286.99255,,,,287.05902,,,,,,,,,,,287.07632,
7,,,,,225.16185,,,120.66476,287.7344,,,,,,,,,,,,,,,,,,,287.0878,,,,287.09872,,,,,,,,,,,287.0847,
8,,,,,225.05109,,,120.6551,287.62906,,,,,,,,,,,,,,,,,,,287.09647,,,,287.10715,,,,,,,,,,,287.32385,
9,,,,,225.09875,,,120.75796,287.46848,,,,,,,,,,,,,,,,,,,287.12668,,,,287.2051,,,,,,,,,,,287.34964,
10,,,,,225.24559,,,120.751915,287.4869,,,,,,,,,,,,,,,,,,,287.10547,,,,287.02435,,,,,,,,,,,287.3871,
11,,,,,225.27837,,,120.73817,287.50476,,,,,,,,,,,,,,,,,,,286.89822,,,,287.1002,,,,,,,,,,,287.37552,
12,,,,,225.23674,,,120.71479,287.6531,,,,,,,,,,,,,,,,,,,286.99142,,,,287.0885,,,,,,,,,,,287.2232,
13,,,,,225.29912,,,120.7161,287.6969,,,,,,,,,,,,,,,,,,,287.1819,,,,287.0607,,,,,,,,,,,287.27573,
14,,,,,225.25175,,,120.71755,287.86832,,,,,,,,,,,,,,,,,,,287.18277,,,,287.11563,,,,,,,,,,,287.45303,
15,,,,,225.20644,,,120.71679,288.03036,,,,,,,,,,,,,,,,,,,287.28946,,,,287.1772,,,,,,,,,,,287.44742,
16,,,,,225.192,,,120.767784,288.12427,,,,,,,,,,,,,,,,,,,287.22067,,,,287.50064,,,,,,,,,,,287.3136,
